"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.038001666E-1,5.014572144E-2,1.558259583E-1,9.788893890E0
9.138411666E-1,5.269042969E-2,1.544787598E-1,9.806108093E0
9.238821666E-1,4.790039063E-2,1.507365417E-1,9.809251556E0
9.339231667E-1,5.104385376E-2,1.472937012E-1,9.805359650E0
9.439641666E-1,4.894821167E-2,1.537303162E-1,9.797575836E0
9.540051667E-1,5.598358154E-2,1.480421448E-1,9.797725525E0
9.640461666E-1,4.385879517E-2,1.435514832E-1,9.807754669E0
9.740871667E-1,4.894821167E-2,1.469943237E-1,9.801168365E0
9.841281666E-1,5.583389282E-2,1.519340515E-1,9.811347198E0
9.941691667E-1,4.520599365E-2,1.483415222E-1,9.805209961E0
1.004210167E0,5.792953491E-2,1.401086426E-1,9.801467743E0
1.014251167E0,5.688171387E-2,1.508862305E-1,9.801767120E0
1.024292167E0,4.879852295E-2,1.477427673E-1,9.806108093E0
1.034333167E0,4.939727783E-2,1.457968140E-1,9.807006226E0
1.044374167E0,4.969665527E-2,1.463955688E-1,9.803413696E0
1.054415167E0,6.376739502E-2,1.365161133E-1,9.798773346E0
1.064456167E0,4.760101318E-2,1.454974365E-1,9.800120544E0
1.074497167E0,5.523513794E-2,1.579216003E-1,9.817334747E0
1.084538167E0,5.703140259E-2,1.532812500E-1,9.806706848E0
1.094579167E0,5.912704468E-2,1.416055298E-1,9.802964630E0
1.104620167E0,6.346801758E-2,1.501377869E-1,9.794881439E0
1.114661167E0,5.837860107E-2,1.640588379E-1,9.808952179E0
1.124702167E0,5.298980713E-2,1.434017944E-1,9.809101868E0
1.134743167E0,4.909790039E-2,1.558259583E-1,9.803264008E0
1.144785167E0,4.924758911E-2,1.407073975E-1,9.807604980E0
1.154826167E0,5.164260864E-2,1.510359192E-1,9.798324280E0
1.164867167E0,4.954696655E-2,1.495390320E-1,9.810748444E0
1.174908167E0,4.565505981E-2,1.576222229E-1,9.803862762E0
1.184949167E0,4.984634399E-2,1.490899658E-1,9.810000000E0
1.194990167E0,6.511459351E-2,1.471440125E-1,9.808054047E0
