"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.685324000E0,-6.771588326E-2,-1.942782477E-2,-3.504189551E-1
8.784891000E0,-2.469433248E-1,8.322807029E-3,1.387057006E-1
8.884457000E0,5.577435344E-2,1.391431242E-1,-3.213653266E-1
8.984023000E0,3.987234831E-2,-4.743594527E-1,2.389709502E-1
9.083588958E0,-1.344822943E-1,4.037608206E-2,-1.040693894E-1
9.183155958E0,9.099252820E-1,2.622256577E-1,1.290992051E-1
9.282721958E0,-4.572015107E-1,-3.466528952E-1,-4.418528974E-1
9.382287958E0,3.065859526E-2,-1.302755903E-2,-1.207632571E-2
9.481853958E0,-3.809692562E-1,-8.949912339E-2,-4.292224050E-1
9.581420958E0,-1.861868426E-2,-1.086575910E-1,-1.870642900E-1
9.680986958E0,1.917635649E-1,-1.482948065E-1,-3.508216739E-1
9.780552958E0,-5.721994862E-2,-2.767005265E-1,-2.480612397E-1
9.880118958E0,8.657624125E-1,1.471291929E-1,-2.075548619E-1
9.979684958E0,5.370169878E-2,4.054215178E-2,-5.804511309E-1
1.007925196E1,-3.247707784E-1,-1.123906150E-1,3.374956250E-1
1.017881796E1,-1.863264740E-1,-1.393521875E-1,-1.917180270E-1
1.027838396E1,-8.427870274E-2,-2.662227862E-2,2.295700908E-1
1.037794996E1,-2.226139158E-1,-2.660411224E-2,-9.294711053E-2
1.047751596E1,6.952167302E-2,-2.162073404E-1,4.600539207E-1
1.057708296E1,1.573906690E-1,-1.155387834E-1,3.231070936E-1
1.067664896E1,9.235327840E-1,2.732631564E-1,2.711822093E-1
1.077621496E1,-9.003560543E-1,-3.546716571E-1,-2.707083225E-1
1.087578096E1,3.921868652E-2,2.822298110E-1,3.044750690E-1
1.097534696E1,-2.754707038E-1,-8.056266606E-2,-1.006006002E-1
1.107491296E1,1.524702739E-2,-1.342356503E-1,6.860966235E-2
1.117447896E1,6.021320075E-2,-2.930978499E-2,-2.425231338E-1
1.127404663E1,-1.102342084E-1,-3.106521070E-1,-8.024071157E-2
1.137361263E1,4.779002368E-1,6.271670759E-2,-4.090408981E-1
1.147317862E1,3.070245683E-1,2.287580669E-1,-3.475447893E-1
1.157274462E1,-4.050439596E-1,-1.264221370E-1,3.265531957E-1
1.167231062E1,-7.173144072E-2,-6.113229319E-2,6.167472526E-2
1.177187663E1,-1.639163867E-2,2.324502021E-1,5.939763188E-1
1.187144263E1,-1.640157402E-1,1.081343070E-1,3.818024099E-1
1.197100862E1,3.324940801E-2,1.253006607E-1,4.747312665E-1
1.207057562E1,-9.462752938E-2,-2.658956051E-1,1.955489814E-2
1.217014162E1,5.859877467E-1,2.469894737E-1,7.589687407E-2
1.226970763E1,2.386261374E-1,-3.285987377E-1,-2.758020759E-1
1.236927362E1,-6.693818569E-1,1.361243706E-2,-1.354716718E-1
1.246883871E1,-1.723408252E-1,-1.239010766E-1,-1.146045700E-1
1.256840471E1,-3.557083905E-1,-9.467411041E-2,-1.583313346E-1
1.266797071E1,-9.181486070E-2,-1.799610257E-1,-1.781115979E-1
1.276753671E1,-4.790112749E-2,-1.495931596E-1,-1.441544443E-1
1.286710271E1,1.465773433E-1,-3.294062614E-1,1.936417520E-1
1.296666871E1,1.116442680E0,4.026016593E-1,-3.805270493E-1
1.306623471E1,-7.617761493E-1,2.356497198E-1,-3.066647351E-1
1.316580071E1,-1.430383027E-1,-1.510197222E-1,3.701372147E-1
1.326536671E1,-1.987397298E-2,4.952369258E-2,2.521693707E-1
1.336493271E1,-3.487647697E-2,8.515410870E-2,4.365274012E-1
1.346449871E1,-1.264449507E-1,-2.464340068E-3,2.776706517E-1
1.356406621E1,-7.297190279E-2,1.876972616E-2,4.782708585E-1
1.366363221E1,1.151855439E-1,1.942612976E-2,1.428944804E-2
1.376319821E1,1.140346289E0,2.721953988E-1,8.589784056E-2
1.386276421E1,-8.659535050E-1,-2.166918218E-1,-5.077345967E-1
1.396233021E1,-3.214148432E-2,1.545582265E-1,2.533714771E-1
1.406189621E1,-3.754686117E-1,-1.541990936E-1,-3.062568009E-1
1.416146221E1,-4.286331311E-2,1.926318742E-2,-2.214421034E-1
1.426102821E1,-1.359093189E-1,-2.008422464E-1,-3.712010682E-1
1.436059421E1,-1.767832190E-1,-1.197831184E-1,-4.330837727E-2
1.446016021E1,4.030288160E-1,3.285496682E-2,-9.407752007E-2
1.455972621E1,1.164388895E0,4.671929777E-1,-9.937021136E-2
1.465929221E1,-8.116100430E-1,5.370758846E-2,5.225224420E-2
1.475885783E1,-1.887745559E-1,-2.963102162E-1,2.768477499E-1
1.485842383E1,1.388808712E-2,8.472889662E-3,2.539376915E-1
1.495798983E1,-1.114666276E-2,1.213522702E-1,7.483458519E-1
1.505755583E1,-2.734916508E-1,-2.837417461E-2,3.067451119E-1
1.515712183E1,1.023974195E-1,-1.593709574E-3,4.566346407E-1
1.525668783E1,3.532971442E-1,-2.669233084E-2,-1.285465807E-1
1.535625383E1,9.668740034E-1,3.804548681E-1,6.754078716E-2
1.545581983E1,-9.492660761E-1,-4.526580274E-1,-2.425290644E-1
1.555538583E1,-7.477989793E-2,3.117436171E-1,1.834590435E-1
1.565495083E1,-3.397361636E-1,-6.692639738E-2,-5.117441416E-1
1.575451683E1,-1.596771330E-1,-8.248731494E-2,-2.683872879E-1
1.585408208E1,-1.406631768E-1,-1.275260746E-1,-3.909592628E-1
1.595364808E1,-1.255152375E-1,-1.541440338E-1,-1.386375576E-1
1.605321408E1,3.572533727E-1,-1.069835424E-1,-3.399884105E-1
1.615278008E1,1.184646010E0,3.820708096E-1,-2.207162231E-1
1.625234608E1,-1.002261877E0,5.279733613E-2,2.067099698E-2
1.635191208E1,-1.869980097E-1,-1.105035245E-1,1.324431505E-3
1.645147708E1,-6.562900543E-2,1.138350666E-1,2.152009904E-1
1.655104308E1,-1.300693154E-1,-8.857171051E-3,2.990845442E-1
1.665060908E1,-1.210516766E-1,3.538309783E-2,2.822918594E-1
1.675017508E1,-1.734356433E-1,-1.544584930E-1,2.522941828E-1
1.684974108E1,3.187814951E-1,1.245788578E-2,2.018725313E-2
1.694930696E1,1.085783124E0,3.127028048E-1,1.423530746E-2
1.704887296E1,-1.169700742E0,-3.874773979E-1,-5.046643615E-1
1.714843796E1,2.258147486E-2,2.594027817E-1,2.713655829E-1
1.724800396E1,-3.140758276E-1,1.337814517E-2,-2.897666693E-1
1.734756996E1,-1.782783680E-2,-8.346053213E-2,-1.477528512E-1
1.744713596E1,-2.201962285E-3,-5.627175421E-2,-2.325248271E-1
1.754670196E1,-1.238820031E-1,-1.978382766E-1,-1.017036140E-1
1.764626696E1,5.206608772E-1,8.635381237E-3,-3.119184375E-1
1.774583296E1,8.358101249E-1,3.623405993E-1,-2.419136614E-1
1.784539896E1,-5.417016745E-1,-1.146963704E-2,3.851025999E-1
1.794496496E1,-1.578919888E-1,-5.932519212E-2,-1.436487436E-1
1.804453096E1,-1.731410623E-1,4.640603811E-2,2.880640924E-1
1.814409671E1,-1.337126791E-1,4.672285914E-2,2.035531253E-1
1.824366271E1,5.293397605E-2,7.792726904E-2,3.401199281E-1
1.834322871E1,-9.053339809E-2,-2.139122784E-1,2.400653809E-1
1.844279471E1,3.525614440E-1,1.375946589E-2,7.138193399E-2
1.854236071E1,7.529015541E-1,2.265240103E-1,-7.459873706E-2
1.864192571E1,-9.598913193E-1,-3.445802331E-1,-3.896879554E-1
1.874149171E1,8.717475086E-2,2.976530194E-1,3.667016923E-1
1.884105771E1,-4.254122376E-1,-7.310740650E-2,-2.215788960E-1
1.894062371E1,-5.738347024E-2,-1.351945996E-1,-1.899545938E-1
1.904018971E1,3.282864019E-2,-1.168342233E-1,-3.101781607E-1
1.913975471E1,-5.461659655E-2,-1.559005082E-1,-1.275164485E-1
1.923932058E1,5.950027704E-1,2.402906567E-1,-2.200064808E-1
1.933888658E1,5.923613310E-1,2.833951116E-1,-2.250059247E-1
1.943845258E1,-8.602498770E-1,-2.796773314E-1,2.748879790E-1
1.953801858E1,-1.020388529E-1,-1.939945738E-3,-1.122116819E-1
1.963758458E1,-9.373547882E-2,1.072072610E-1,3.639172316E-1
1.973715058E1,-8.402733505E-2,5.177038535E-2,2.112138122E-1
1.983671558E1,7.840820402E-2,5.830989778E-2,4.307927787E-1
1.993628158E1,-1.114321649E-1,-2.061229050E-1,2.041284889E-1
2.003584758E1,4.861927330E-1,2.548742592E-1,4.838069528E-2
2.013541358E1,8.692536950E-1,2.022128999E-1,9.973161668E-2
2.023497958E1,-8.525484800E-1,-3.031440079E-1,-3.576759994E-1
2.033454575E1,-3.236122802E-2,1.433416605E-1,1.107882336E-1
2.043411175E1,-4.283992052E-1,-6.040452048E-2,-5.003336668E-1
2.053367775E1,-1.348099560E-1,-6.161639839E-2,-3.231867850E-1
2.063324375E1,-1.519669592E-1,-1.400903463E-1,-3.799244463E-1
2.073280975E1,3.108300827E-2,-1.440799385E-1,-1.633166969E-1
2.083237575E1,2.440010607E-1,-1.200837716E-1,-3.739239275E-1
2.093194175E1,9.933375716E-1,3.817479014E-1,-1.462818980E-1
2.103150775E1,-7.134629488E-1,-8.302401006E-2,3.430584371E-1
2.113107375E1,-1.141633838E-1,2.263454720E-2,9.409739822E-2
2.123063975E1,-1.058843136E-1,1.389251649E-1,3.215544820E-1
2.133020575E1,-1.094115674E-1,4.768815264E-2,2.808137238E-1
2.142977175E1,-6.007307675E-3,7.542748004E-2,3.361938298E-1
2.152933721E1,-1.495098472E-1,-1.589584202E-1,2.058251947E-1
2.162890321E1,5.223051310E-1,2.106911093E-1,4.786506668E-2
2.172846921E1,8.924608827E-1,2.559144795E-1,-2.781767026E-2
2.182803521E1,-7.204993963E-1,-2.292221636E-1,-2.381698042E-1
2.192760121E1,-8.788607270E-2,1.031613871E-1,1.835748255E-1
2.202716721E1,-2.629339993E-1,-3.998139501E-2,-3.474874794E-1
2.212673321E1,-5.497504398E-2,-6.048721820E-2,-2.980971634E-1
2.222629921E1,-1.427435875E-1,-2.199469060E-1,-2.967529893E-1
2.232586521E1,-9.928129613E-3,-3.106793463E-1,1.023611948E-1
2.242543121E1,5.246728659E-1,-2.878379636E-2,-3.534849584E-1
2.252499721E1,8.330388069E-1,4.251590073E-1,-1.957744658E-1
2.262456275E1,-6.726719737E-1,-1.115010083E-1,4.353026152E-1
2.272412875E1,-1.235414669E-1,-4.899338633E-2,-2.947815880E-2
2.282369575E1,-1.695706695E-1,9.066835791E-2,4.657925069E-1
2.292326175E1,-1.136835366E-1,6.040211394E-2,2.135797292E-1
2.302282775E1,-3.752098978E-2,1.789200678E-2,3.822658956E-1
2.312239375E1,-3.004595637E-2,-1.792801917E-1,7.294769585E-2
2.322195975E1,6.067122817E-1,1.054848954E-1,3.127164394E-2
2.332152575E1,9.648440480E-1,-3.457235098E-1,-4.238912836E-2
2.342109275E1,-1.151943564E0,-2.460976392E-1,-9.287475049E-2
2.352065875E1,-2.710436471E-2,2.515480816E-1,3.100776970E-1
2.362022475E1,-3.629786968E-1,1.591306739E-2,-1.555015296E-1
2.371979075E1,-7.713005692E-2,-1.980751008E-1,-2.908874750E-1
2.381935700E1,-4.349707812E-2,-1.142686680E-1,-3.282887340E-1
2.391892400E1,-1.350553427E-2,-1.683425158E-1,-1.200821772E-1
2.401849000E1,1.019000769E0,4.951387346E-1,-1.042367220E-1
2.411805600E1,-6.495064497E-1,2.689453065E-1,-1.826925278E-1
2.421762200E1,-3.515183330E-1,-4.321360886E-1,3.125375807E-1
2.431718800E1,6.429390609E-2,2.017914504E-2,5.480881035E-2
2.441675500E1,-2.514798939E-2,7.085479796E-2,4.867317080E-1
2.451632100E1,-1.369000375E-1,-3.262389824E-2,2.145917118E-1
2.461588700E1,6.892490387E-2,1.724485457E-1,4.116783142E-1
2.471545300E1,-2.438956052E-1,1.127111241E-1,-2.924520373E-1
