"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.884457000E0,1.773682702E-1,3.409786266E-1,-2.805149084E-1
8.984023000E0,1.593160151E-1,1.432221387E0,-6.105498862E-1
9.083588958E0,1.110758062E0,-1.574275106E-1,2.388011643E0
9.183155958E0,4.967063516E-2,-1.895242953E0,-9.791010582E-1
9.282721958E0,7.760417305E-2,-2.375146161E0,4.405415064E-1
9.382287958E0,-4.497349374E-2,1.359400164E-1,-1.072595698E0
9.481853958E0,-2.356887645E-1,-1.266828507E-1,-3.574975955E-1
9.581420958E0,-3.387858476E-1,8.487777311E-1,4.044811428E-2
9.680986958E0,-6.202402575E-1,5.232505180E-1,2.444323254E-1
9.780552958E0,-1.583512976E-1,5.005121581E-1,2.079733570E0
9.880118958E0,-3.073700005E-1,-5.685350105E-1,8.415195823E-2
9.979684958E0,8.135058644E-1,-2.646947695E0,-3.067359869E0
1.007925196E1,7.221159303E-1,4.043992817E-2,5.373392379E-1
1.017881796E1,2.597110999E-1,8.332845099E-1,-2.365947175E-1
1.027838396E1,6.965166740E-1,3.699353541E-1,-5.330432886E-1
1.037794996E1,3.141736744E-1,9.181720479E-1,1.913793683E-3
1.047751596E1,1.017497092E0,1.039396230E0,6.188283741E-1
1.057708296E1,5.192768964E-1,-1.006127474E0,2.794297237E0
1.067664896E1,-3.340834437E-1,-1.431809159E0,-2.518157215E0
1.077621496E1,-7.700006796E-1,-1.971550140E0,1.199480277E-1
1.087578096E1,-4.170016395E-1,5.706546262E-2,-7.239753449E-1
1.097534696E1,-2.591237471E-1,-8.773337781E-2,-1.212782693E-1
1.107491296E1,-1.535361886E-1,8.510979062E-1,-1.353981256E-2
1.117447896E1,-4.666531250E-1,6.957139975E-1,1.489104563E-1
1.127404663E1,-3.769645844E-1,7.589237143E-1,1.676129510E0
1.137361263E1,3.447815095E-1,-4.511594653E-1,1.624986838E0
1.147317862E1,6.285873771E-2,-3.134578583E0,-2.601496995E0
1.157274462E1,7.854227109E-1,-2.633699951E-1,2.301300359E-1
1.167231062E1,-5.791794281E-1,7.293888433E-1,-2.775024229E-1
1.177187663E1,-3.739367500E-2,-6.600734639E-1,-4.265058500E-1
1.187144263E1,6.295957294E-1,1.094448935E0,-8.764572805E-1
1.197100862E1,1.030191982E0,-3.694669922E-1,1.054040143E0
1.207057562E1,1.184073595E0,1.526509202E0,1.563608031E0
1.217014162E1,3.798289892E-1,-1.687741349E0,9.313462633E-1
1.226970763E1,-7.144204098E-1,-1.619775507E0,-3.280360487E0
1.236927362E1,-4.106157491E-1,-1.909819915E0,2.062134036E0
1.246883871E1,-6.928050077E-1,2.447527528E-1,-1.679284667E0
1.256840471E1,-4.655029777E-1,-2.743208067E-1,4.626211774E-1
1.266797071E1,-3.301057291E-1,1.198287591E0,-2.569266558E-2
1.276753671E1,-1.094122368E0,6.354227722E-2,5.218984956E-1
1.286710271E1,2.924609162E-1,1.377240603E0,2.797577525E0
1.296666871E1,-3.799295613E-1,-1.654539689E0,9.268012226E-2
1.306623471E1,3.488077560E-1,-3.624710033E0,-1.844612936E0
1.316580071E1,2.528759971E-2,7.815198407E-1,-3.128739846E-1
1.326536671E1,-2.213605280E-1,-5.481032310E-1,1.943111622E-1
1.336493271E1,5.592902702E-1,9.007945615E-1,-7.380495930E-1
1.346449871E1,2.955131628E-1,-1.786615281E-1,-6.882406712E-2
1.356406621E1,7.896524405E-1,1.204265858E0,5.145783663E-2
1.366363221E1,1.213351481E0,-2.008499573E-1,3.626306323E0
1.376319821E1,2.227463181E-1,-1.789739594E0,-1.750641748E0
1.386276421E1,-5.696372107E-1,-2.623001885E0,-1.979291854E0
1.396233021E1,-1.403225045E-1,-6.834775293E-1,1.160170616E0
1.406189621E1,-6.589928985E-2,8.458441830E-1,-9.020429420E-1
1.416146221E1,-2.047152592E-1,3.006804934E-1,6.356221622E-1
1.426102821E1,-8.055453189E-1,6.496822308E-1,-5.179258972E-1
1.436059421E1,-1.278503496E0,5.971585929E-1,1.167229375E0
1.446016021E1,2.835773876E-1,1.567959967E0,2.440189272E0
1.455972621E1,-4.747513725E-1,-2.319950930E0,-1.354377113E0
1.465929221E1,1.101893318E0,-3.070298095E0,-1.321578326E0
1.475885783E1,1.311691269E-1,1.820529570E0,1.434105653E-1
1.485842383E1,-6.888553597E-1,-9.413540652E-1,4.192079401E-1
1.495798983E1,2.805755733E-1,7.021237153E-1,-1.391109322E0
1.505755583E1,7.544162419E-1,1.061913566E-1,3.769822723E-1
1.515712183E1,1.319592612E0,1.600983433E0,6.918992740E-1
1.525668783E1,7.635915466E-1,-4.497648313E-1,2.385955762E0
1.535625383E1,-4.565867047E-1,-2.076752367E0,-2.003404017E0
1.545581983E1,-6.034148213E-1,-2.764689860E0,-7.463017684E-1
1.555538583E1,7.992646784E-2,1.382299322E-1,-2.227882719E-1
1.565495083E1,4.278319985E-2,3.082850897E-1,-3.382403755E-1
1.575451683E1,-3.378088510E-1,3.863834256E-1,-2.005419552E-1
1.585408208E1,-8.532355021E-1,6.516557392E-1,2.490896326E-1
1.595364808E1,-7.437463890E-1,9.067149404E-1,1.044186416E0
1.605321408E1,5.921076219E-1,7.825086048E-1,2.742240061E0
1.615278008E1,-5.074994346E-1,-2.524848769E0,-2.445685070E0
1.625234608E1,9.415720202E-1,-2.446428397E0,2.951206684E-2
1.635191208E1,5.408031285E-2,1.873754582E0,-3.536156291E-1
1.645147708E1,-9.058754995E-2,-1.163956542E0,-1.578292143E-1
1.655104308E1,2.848330772E-1,1.443022949E0,-1.264460970E0
1.665060908E1,5.097453502E-1,-2.338598286E-1,7.646281117E-1
1.675017508E1,7.170238826E-1,1.652933898E0,-5.266177833E-2
1.684974108E1,1.141804512E0,-6.260979250E-1,3.625080162E0
1.694930696E1,-3.763911188E-2,-1.667799128E0,-2.992179294E0
1.704887296E1,-6.749976048E-1,-2.821297340E0,-3.029752332E-1
1.714843796E1,-4.575482793E-1,2.859510648E-1,-2.482680988E-1
1.724800396E1,-1.566552396E-1,2.280851184E-1,4.187775850E-3
1.734756996E1,-2.527296706E-1,8.721245668E-1,-7.914264858E-2
1.744713596E1,-8.105845955E-1,1.426068655E-1,1.428410465E-1
1.754670196E1,-3.465542391E-1,8.627547692E-1,1.301125935E0
1.764626696E1,3.795737582E-1,2.444576877E-1,2.686985627E0
1.774583296E1,-3.839154620E-1,-2.880779310E0,-2.707022281E0
1.784539896E1,1.305729302E0,-1.366965584E0,2.085403615E-1
1.794496496E1,-2.534709513E-2,1.213198138E0,-2.595842153E-1
1.804453096E1,5.698725611E-2,-1.015835167E0,-5.866371131E-1
1.814409671E1,4.203534096E-1,1.418079312E0,-5.841649103E-1
1.824366271E1,4.556910574E-1,-3.527080681E-1,5.780574936E-1
1.834322871E1,1.150592877E0,1.511071383E0,6.369027025E-1
1.844279471E1,9.329782212E-1,-7.676604778E-1,2.096878776E0
1.854236071E1,-1.888532250E-1,-1.348115914E0,-2.187421741E0
1.864192571E1,-9.915527040E-1,-2.608689070E0,-5.370609105E-2
1.874149171E1,-4.704421207E-1,1.953278469E-1,-7.339074254E-1
1.884105771E1,4.554425508E-2,1.011349037E-1,-2.335260987E-1
1.894062371E1,-1.459011868E-2,1.117142564E0,1.445987195E-1
1.904018971E1,-8.447399363E-1,4.834833851E-1,2.177286762E-1
1.913975471E1,-6.026637465E-1,9.535151044E-1,1.694869251E0
1.923932058E1,-1.300021689E-1,-6.476645029E-1,1.910028661E0
1.933888658E1,3.573964387E-3,-3.087233970E0,-3.142414729E0
1.943845258E1,1.247677706E0,-6.786353038E-1,2.733608401E-1
1.953801858E1,-3.310947856E-1,1.032762784E0,2.656004155E-1
1.963758458E1,3.904668286E-2,-9.853366752E-1,-7.866212440E-1
1.973715058E1,2.416385257E-1,1.353711554E0,-3.896426636E-1
1.983671558E1,3.797439122E-1,-3.352607075E-1,2.282986879E-1
1.993628158E1,1.243097582E0,1.876228538E0,1.200362037E0
2.003584758E1,7.429513139E-1,-9.068612670E-1,1.946204799E0
2.013541358E1,-2.576780230E-2,-1.719474481E0,-2.146953161E0
2.023497958E1,-4.152419930E-1,-2.554904627E0,-6.977236855E-1
2.033454575E1,7.026321307E-2,1.473698612E-1,9.833262563E-3
2.043411175E1,6.892032690E-2,4.467060797E-2,-4.584526974E-1
2.053367775E1,-3.704801685E-1,8.076019308E-1,-1.793095458E-1
2.063324375E1,-8.865568838E-1,5.490769386E-1,2.661442065E-1
2.073280975E1,-7.464915106E-1,9.700468641E-1,1.025864165E0
2.083237575E1,8.182884483E-1,3.858304983E-1,2.479203649E0
2.093194175E1,-6.262281717E-1,-2.439971171E0,-2.381532344E0
2.103150775E1,7.918306015E-1,-1.777244241E0,-3.031389552E-1
2.113107375E1,1.156275201E-1,1.366960613E0,1.603657365E-1
2.123063975E1,1.746184708E-1,-8.197929369E-1,-6.667392898E-1
2.133020575E1,4.473910810E-1,1.346648848E0,-4.836027414E-1
2.142977175E1,5.289667560E-1,-7.498790950E-2,3.705626142E-1
2.152933721E1,1.131065077E0,1.569038925E0,9.055080020E-1
2.162890321E1,8.162023079E-1,-5.654546973E-1,2.458665889E0
2.172846921E1,-4.930579814E-1,-1.543373449E0,-2.276794093E0
2.182803521E1,-4.201714882E-1,-3.036742386E0,2.738163382E-1
2.192760121E1,-1.649384053E-1,1.916590114E-1,-6.767427063E-1
2.202716721E1,-2.117137916E-2,2.399727271E-1,-6.321190953E-2
2.212673321E1,-4.178284357E-1,7.192632931E-1,-4.016434890E-1
2.222629921E1,-1.046224390E0,5.501977768E-1,1.229230911E-1
2.232586521E1,-8.876916821E-1,9.488301690E-1,1.865413236E0
2.242543121E1,7.729735503E-1,8.785820125E-1,1.548931519E0
2.252499721E1,-5.461697030E-1,-3.169874423E0,-2.402647224E0
2.262456275E1,7.698037016E-1,-1.030514895E0,-1.624116772E-1
2.272412875E1,-2.531201184E-2,1.543249634E0,-4.377751887E-1
2.282369575E1,-1.092800751E-1,-7.352639794E-1,-1.737313020E-1
2.292326175E1,5.503266348E-1,1.575163298E0,-9.278677547E-1
2.302282775E1,7.081942946E-1,-2.940759902E-1,8.630689108E-1
2.312239375E1,1.009916469E0,1.608328998E0,1.343427032E0
2.322195975E1,7.629540539E-1,-1.409821581E0,2.114773595E0
2.332152575E1,-9.202725139E-1,-1.430866734E0,-3.614845780E0
